ORC 14x14
#      a      b   E   k Ete Ete (%)    Ite (%)
# ------ ------ --- --- --- ------- ----------
     0.1    0.1   0  11  14     4.7 [2.3, 7.1]
     0.1    1.0   0  12  18     6.0 [3.3, 8.7]
     0.1   10.0   0  17  14     4.7 [2.3, 7.1]
     0.1  100.0   0 123  14     4.7 [2.3, 7.1]
     0.1 1000.0 162 200  11     3.7 [1.5, 5.8]
     1.0    0.1   0  12  17     5.7 [3.1, 8.3]
     1.0    1.0   0  11  14     4.7 [2.3, 7.1]
     1.0   10.0   0  12  18     6.0 [3.3, 8.7]
     1.0  100.0   0  17  14     4.7 [2.3, 7.1]
     1.0 1000.0   0 123  14     4.7 [2.3, 7.1]
    10.0    0.1   0  10  15     5.0 [2.5, 7.5]
    10.0    1.0   0  12  17     5.7 [3.1, 8.3]
    10.0   10.0   0  11  14     4.7 [2.3, 7.1]
    10.0  100.0   0  12  18     6.0 [3.3, 8.7]
    10.0 1000.0   0  17  14     4.7 [2.3, 7.1]
   100.0    0.1   0  10  15     5.0 [2.5, 7.5]
   100.0    1.0   0  10  15     5.0 [2.5, 7.5]
   100.0   10.0   0  12  17     5.7 [3.1, 8.3]
   100.0  100.0   0  11  14     4.7 [2.3, 7.1]
   100.0 1000.0   0  12  18     6.0 [3.3, 8.7]
  1000.0    0.1   0  10  15     5.0 [2.5, 7.5]
  1000.0    1.0   0  10  15     5.0 [2.5, 7.5]
  1000.0   10.0   0  10  15     5.0 [2.5, 7.5]
  1000.0  100.0   0  12  17     5.7 [3.1, 8.3]
  1000.0 1000.0   0  11  14     4.7 [2.3, 7.1]
 10000.0    0.1   0  10  15     5.0 [2.5, 7.5]
 10000.0    1.0   0  10  15     5.0 [2.5, 7.5]
 10000.0   10.0   0  10  15     5.0 [2.5, 7.5]
 10000.0  100.0   0  10  15     5.0 [2.5, 7.5]
 10000.0 1000.0   0  12  17     5.7 [3.1, 8.3]

expression
#      a      b   E   k Ete Ete (%)    Ite (%)
# ------ ------ --- --- --- ------- ----------
     0.1    0.1   0  50   4     6.0 [0.3, 11.6]
     0.1    1.0   0  50   4     6.0 [0.3, 11.6]
     0.1   10.0   0  50   4     6.0 [0.3, 11.6]
     0.1  100.0   0  50   4     6.0 [0.3, 11.6]
     0.1 1000.0   0  63   6     9.0 [2.1, 15.8]
     1.0    0.1   0  50   4     6.0 [0.3, 11.6]
     1.0    1.0   0  50   4     6.0 [0.3, 11.6]
     1.0   10.0   0  50   4     6.0 [0.3, 11.6]
     1.0  100.0   0  50   4     6.0 [0.3, 11.6]
     1.0 1000.0   0  50   4     6.0 [0.3, 11.6]
    10.0    0.1   0  50   4     6.0 [0.3, 11.6]
    10.0    1.0   0  50   4     6.0 [0.3, 11.6]
    10.0   10.0   0  50   4     6.0 [0.3, 11.6]
    10.0  100.0   0  50   4     6.0 [0.3, 11.6]
    10.0 1000.0   0  50   4     6.0 [0.3, 11.6]
   100.0    0.1   0  50   4     6.0 [0.3, 11.6]
   100.0    1.0   0  50   4     6.0 [0.3, 11.6]
   100.0   10.0   0  50   4     6.0 [0.3, 11.6]
   100.0  100.0   0  50   4     6.0 [0.3, 11.6]
   100.0 1000.0   0  50   4     6.0 [0.3, 11.6]
  1000.0    0.1   0  50   4     6.0 [0.3, 11.6]
  1000.0    1.0   0  50   4     6.0 [0.3, 11.6]
  1000.0   10.0   0  50   4     6.0 [0.3, 11.6]
  1000.0  100.0   0  50   4     6.0 [0.3, 11.6]
  1000.0 1000.0   0  50   4     6.0 [0.3, 11.6]
 10000.0    0.1   0  50   4     6.0 [0.3, 11.6]
 10000.0    1.0   0  50   4     6.0 [0.3, 11.6]
 10000.0   10.0   0  50   4     6.0 [0.3, 11.6]
 10000.0  100.0   0  50   4     6.0 [0.3, 11.6]
 10000.0 1000.0   0  50   4     6.0 [0.3, 11.6]

gauss2D
#      a      b   E   k Ete Ete (%)    Ite (%)
# ------ ------ --- --- --- ------- ----------
     0.1    0.1 562 200 445    37.1 [34.4, 39.8]
     0.1    1.0 697 200 260    21.7 [19.3, 24.0]
     0.1   10.0 806 200 141    11.8 [9.9, 13.6]
     0.1  100.0 824 200 126    10.5 [8.8, 12.2]
     0.1 1000.0 849 200 126    10.5 [8.8, 12.2]
     1.0    0.1 517 200 418    34.8 [32.1, 37.5]
     1.0    1.0 562 200 445    37.1 [34.4, 39.8]
     1.0   10.0 697 200 260    21.7 [19.3, 24.0]
     1.0  100.0 806 200 141    11.8 [9.9, 13.6]
     1.0 1000.0 824 200 126    10.5 [8.8, 12.2]
    10.0    0.1 509 200 339    28.2 [25.7, 30.8]
    10.0    1.0 517 200 418    34.8 [32.1, 37.5]
    10.0   10.0 562 200 445    37.1 [34.4, 39.8]
    10.0  100.0 697 200 260    21.7 [19.3, 24.0]
    10.0 1000.0 806 200 141    11.8 [9.9, 13.6]
   100.0    0.1 519 200 341    28.4 [25.9, 31.0]
   100.0    1.0 509 200 339    28.2 [25.7, 30.8]
   100.0   10.0 517 200 418    34.8 [32.1, 37.5]
   100.0  100.0 562 200 445    37.1 [34.4, 39.8]
   100.0 1000.0 697 200 260    21.7 [19.3, 24.0]
  1000.0    0.1 529 200 485    40.4 [37.6, 43.2]
  1000.0    1.0 519 200 341    28.4 [25.9, 31.0]
  1000.0   10.0 509 200 339    28.2 [25.7, 30.8]
  1000.0  100.0 517 200 418    34.8 [32.1, 37.5]
  1000.0 1000.0 562 200 445    37.1 [34.4, 39.8]
 10000.0    0.1 528 200 495    41.2 [38.5, 44.0]
 10000.0    1.0 529 200 485    40.4 [37.6, 43.2]
 10000.0   10.0 519 200 341    28.4 [25.9, 31.0]
 10000.0  100.0 509 200 339    28.2 [25.7, 30.8]
 10000.0 1000.0 517 200 418    34.8 [32.1, 37.5]

gender
#      a      b   E   k Ete Ete (%)    Ite (%)
# ------ ------ --- --- --- ------- ----------
     0.1    0.1   0  60  39     4.6 [3.2, 6.0]
     0.1    1.0   0  60  39     4.6 [3.2, 6.0]
     0.1   10.0   0  70  49     5.8 [4.2, 7.3]
     0.1  100.0   0  70  49     5.8 [4.2, 7.3]
     0.1 1000.0   0  58  44     5.2 [3.7, 6.7]
     1.0    0.1   0  60  39     4.6 [3.2, 6.0]
     1.0    1.0   0  60  39     4.6 [3.2, 6.0]
     1.0   10.0   0  60  39     4.6 [3.2, 6.0]
     1.0  100.0   0  70  49     5.8 [4.2, 7.3]
     1.0 1000.0   0  70  49     5.8 [4.2, 7.3]
    10.0    0.1   0  60  39     4.6 [3.2, 6.0]
    10.0    1.0   0  60  39     4.6 [3.2, 6.0]
    10.0   10.0   0  60  39     4.6 [3.2, 6.0]
    10.0  100.0   0  60  39     4.6 [3.2, 6.0]
    10.0 1000.0   0  70  49     5.8 [4.2, 7.3]
   100.0    0.1   0  60  39     4.6 [3.2, 6.0]
   100.0    1.0   0  60  39     4.6 [3.2, 6.0]
   100.0   10.0   0  60  39     4.6 [3.2, 6.0]
   100.0  100.0   0  60  39     4.6 [3.2, 6.0]
   100.0 1000.0   0  60  39     4.6 [3.2, 6.0]
  1000.0    0.1   0  60  39     4.6 [3.2, 6.0]
  1000.0    1.0   0  60  39     4.6 [3.2, 6.0]
  1000.0   10.0   0  60  39     4.6 [3.2, 6.0]
  1000.0  100.0   0  60  39     4.6 [3.2, 6.0]
  1000.0 1000.0   0  60  39     4.6 [3.2, 6.0]
 10000.0    0.1   0  60  39     4.6 [3.2, 6.0]
 10000.0    1.0   0  60  39     4.6 [3.2, 6.0]
 10000.0   10.0   0  60  39     4.6 [3.2, 6.0]
 10000.0  100.0   0  60  39     4.6 [3.2, 6.0]
 10000.0 1000.0   0  60  39     4.6 [3.2, 6.0]

videos
#      a      b   E   k Ete Ete (%)    Ite (%)
# ------ ------ --- --- --- ------- ----------
     0.1    0.11644 200 833    34.8 [32.9, 36.7]
     0.1    1.02788 200 647    27.0 [25.2, 28.8]
     0.1   10.04424 200 673    28.1 [26.3, 29.9]
     0.1  100.05565 2001140    47.6 [45.6, 49.6]
     0.1 1000.05566 2001171    48.9 [46.9, 50.9]
     1.0    0.11150 200 732    30.6 [28.7, 32.4]
     1.0    1.01644 200 833    34.8 [32.9, 36.7]
     1.0   10.02788 200 647    27.0 [25.2, 28.8]
     1.0  100.04424 200 673    28.1 [26.3, 29.9]
     1.0 1000.05565 2001140    47.6 [45.6, 49.6]
    10.0    0.11052 200 813    33.9 [32.0, 35.8]
    10.0    1.01150 200 732    30.6 [28.7, 32.4]
    10.0   10.01644 200 833    34.8 [32.9, 36.7]
    10.0  100.02788 200 647    27.0 [25.2, 28.8]
    10.0 1000.04424 200 673    28.1 [26.3, 29.9]
   100.0    0.11032 200 828    34.6 [32.7, 36.5]
   100.0    1.01052 200 813    33.9 [32.0, 35.8]
   100.0   10.01150 200 732    30.6 [28.7, 32.4]
   100.0  100.01644 200 833    34.8 [32.9, 36.7]
   100.0 1000.02788 200 647    27.0 [25.2, 28.8]
  1000.0    0.11026 200 831    34.7 [32.8, 36.6]
  1000.0    1.01032 200 828    34.6 [32.7, 36.5]
  1000.0   10.01052 200 813    33.9 [32.0, 35.8]
  1000.0  100.01150 200 732    30.6 [28.7, 32.4]
  1000.0 1000.01644 200 833    34.8 [32.9, 36.7]
 10000.0    0.11020 200 826    34.5 [32.6, 36.4]
 10000.0    1.01026 200 831    34.7 [32.8, 36.6]
 10000.0   10.01032 200 828    34.6 [32.7, 36.5]
 10000.0  100.01052 200 813    33.9 [32.0, 35.8]
 10000.0 1000.01150 200 732    30.6 [28.7, 32.4]
